语料ID,语料,人工领域,人工意图,人工领域ID,人工意图ID,人工标注,人工槽位,匹配模式,平台领域,平台意图,平台领域ID,平台意图ID,平台标注,平台槽位,Domain Score,Intent Score,Pattern Score,GUID
1363674143860371456,今天徐州天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>今天</datetime><location>徐州</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""徐州"", ""name"": ""location"", ""entity_source"": 0}]",[datetime][location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>今天</datetime><location>徐州</location>天气,"[{""origin_value"": ""今天"", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""徐州"", ""origin_offset"": 2, ""value"": ""徐州"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.8966667056083679,11575_auto_test_aie_bvt_guid_9d249b8ced184479855dd1cc6bf42cef
1363674143663239168,上海未来七天天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>上海</location><datetime>未来七天</datetime>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""上海"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""未来七天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>上海未来</location><datetime>七天</datetime>天气,"[{""origin_value"": ""七天"", ""origin_offset"": 4, ""value"": ""七天"", ""name"": ""datetime"", ""entity_source"": 1}, {""origin_value"": ""上海未来"", ""origin_offset"": 0, ""value"": ""上海未来"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.8849999904632568,11575_auto_test_aie_bvt_guid_9c2569238d554650ac9cffbb40afde50
1363674143449329664,贵定天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>贵定</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""贵定"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>贵定</location>天气预报,"[{""origin_value"": ""贵定"", ""origin_offset"": 0, ""value"": ""贵定"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.949999988079071,11575_auto_test_aie_bvt_guid_c93eee0595374b46b5c3d04ebc85a75b
1363674143310917632,今天天气怎样深圳,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>今天</datetime>天气怎样<location>深圳</location>,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 6, ""value"": ""深圳"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,今天天气怎样深圳,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_79c9dcdd558b4b7e92048715b4ab24a9
1363674143180894208,帮我查一查柳州的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,帮我查一查<location>柳州</location>的天气,"[{""origin_value"": """", ""origin_offset"": 5, ""value"": ""柳州"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,帮我查一查柳州的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_e673886ea84e48bd92bdc0803c04a28c
1363674143021510656,明天安福的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>明天</datetime><location>安福</location>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""安福"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,明天安福的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_b45b6cc529b34e85afa1b9d171c30335
1363674142925041664,慈溪的天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>慈溪</location>的天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""慈溪"", ""name"": ""location"", ""entity_source"": 0}]",[location]的天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>慈溪</location>的天气预报,"[{""origin_value"": ""慈溪"", ""origin_offset"": 0, ""value"": ""慈溪"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9571427702903748,11575_auto_test_aie_bvt_guid_4824429075314faab7c06b4a459a0bd2
1363674142790823936,资阳明天的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>资阳</location><datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""资阳"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>资阳</location><datetime>明天</datetime>的天气,"[{""origin_value"": ""明天"", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""资阳"", ""origin_offset"": 0, ""value"": ""资阳"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9114286303520203,11575_auto_test_aie_bvt_guid_e8bcbcfd01b246a09775c5091d1c5e7e
1363674142522388480,济南今天的天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>济南</location><datetime>今天</datetime>的天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""济南"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]的天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>济南</location><datetime>今天</datetime>的天气预报,"[{""origin_value"": ""今天"", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""济南"", ""origin_offset"": 0, ""value"": ""济南"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9311110973358154,11575_auto_test_aie_bvt_guid_fd8b8245238d4a82beadf90940fe5260
1363674142354616320,请问明天天气是怎样的,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,请问<datetime>明天</datetime>天气是怎样的,"[{""origin_value"": """", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,请问明天天气是怎样的,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_bf3243b7a45b4814816c52487dcae4b9
